Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
German Shepherd,Pastoral,,,,10 - 14 yrs.,22 - 26 in.,75 - 95 lbs,65,85,65,80,48,50,67,75,80,75,75,95,80,75,80,45,30,30,63,90,,"Everything about the German Shepherd dog breed. Discover German Shepherd coloring, sizing, traits, lifespan, and compare German Shepherds to other dog breeds.","The breed is a good choice for many families, but some of the breed's qualities can make them a less than ideal choice for some. While the breed is intelligent, they must be kept busy mentally and physically to prevent unwanted habits from forming and they are naturally wary of strangers which can make the breed intimidating for those who have many guests. Perhaps one of the more intriguing German Shepherd facts is the breed's compartmentalized versatility: while there are a great many things this breed can do, none of ..."
German Shorthaired Pointer,Gundog,,,,12 - 14 yrs.,22 - 24 in.,60 - 75 lbs,85,85,90,80,92,100,83,88,50,50,75,95,40,90,60,10,10,10,63,90,"Hip Dyspasia, Bloat, Osteochondritis Dessicans- disease of the joints, Eye Disease- Progressive Retinal Atrophy and Pannus, Hypothyroidism, Lymphedema- swelling due to a blockage in the lymphatic system, Epilepsy, Cancer","German Shorthaired Pointer information, facts, and high-quality breed pictures. Learn everything about the German Shorthaired Pointer dog breed including temperament, care, and more.","The German Shorthaired Pointer is a sporting dog through-and-through. They were recognized in their home country, Germany, in the late 1800s and quickly became popular with sportsmen in other countries around the globe; even the AKC recognized them as early as 1930. The acclaim comes from the quality of being so versatile: they track, they retrieve, they kill, and (of course) they point and they do all of this while being excellent companions. We recommend this breed for sportsmen, athletes and generally fit, active own..."
German Spitz (Klein),Utility,,,,13 - 15 yrs.,11 - 14 in.,23 - 40 lbs,60,95,40,40,66,67,33,50,60,38,50,80,50,60,70,80,20,20,84,60,"Easily bored, May bark a lot, Highly dominant, Very independent, Not hypoallergenic, High grooming needs, Highly suspicious of strangers","German Spitz information, facts, and high-quality breed pictures. Learn everything about the German Spitz dog breed including temperament, care, and more.","This small- to medium-sized, double-coated breed is instantly recognizable, highly independent, and a great companion for those who are up for the task of owning a great guard dog that loves to play. The term ""German Spitz,"" however, may apply to either the type or breed. The breed falls within the type, and so you should make sure to know the differences when looking up this dog. The type has been around for a very long time — some say it is the oldest of all dog types — whereas the breed is basically understood to hav..."
German Spitz (Mittel),Utility,,,,13 - 15 yrs.,11 - 14 in.,23 - 40 lbs,60,95,40,40,66,67,33,50,60,38,50,80,50,60,70,80,20,20,84,60,"Easily bored, May bark a lot, Highly dominant, Very independent, Not hypoallergenic, High grooming needs, Highly suspicious of strangers","German Spitz information, facts, and high-quality breed pictures. Learn everything about the German Spitz dog breed including temperament, care, and more.","This small- to medium-sized, double-coated breed is instantly recognizable, highly independent, and a great companion for those who are up for the task of owning a great guard dog that loves to play. The term ""German Spitz,"" however, may apply to either the type or breed. The breed falls within the type, and so you should make sure to know the differences when looking up this dog. The type has been around for a very long time — some say it is the oldest of all dog types — whereas the breed is basically understood to hav..."
German Wirehaired Pointer,Gundog,,,,9 - 12 yrs.,22 - 26 in.,60 - 70 lbs,49,61,49,6,36,100,100,75,92,25,50,79,40,60,70,3,49,4,4,90,,"German Wirehaired Pointer information, facts, and high-quality breed pictures. Learn everything about the German Wirehaired Pointer dog breed including temperament, care, and more.","German Wirehaired Pointers are members of the Sporting Group of breeds, and have been utilized as versatile hunting dogs since their creation in the late nineteenth century in Germany. As such, these dogs make excellent hunting companions, and they're good pets for active families willing to provide their GWPs with plenty of exercise. Some German Wirehaired Pointer facts: they're on the large side of medium-sized (height at the shoulders averages 24 inches, and weight 60 pounds), with short-haired, coarse double coats t..."
Giant Schnauzer,Working,,,,10 - 12 yrs.,24 - 28 in.,60 - 110 lbs,60,95,60,60,48,67,67,75,80,25,75,95,80,95,90,15,40,40,21,90,,"Giant Schnauzer information, facts, and high-quality breed pictures. Learn everything about the Giant Schnauzer dog breed including temperament, care, and more.","However confusing the name may be, this is not a giant sized dog, it is still considered a large breed. Females measure 23.5-25.5 inches at the shoulders and males are slightly larger at 25.5-27.5 inches. Members of this breed have a compact yet strong and commanding figure, weighing up to 95 pounds. Giant Schnauzers are intelligent, playful, alert and territorial. Their alertness makes for a fine watch dog and they are sometimes territorial and aggressive around strangers and other male dogs. Towards their owners and f..."
Glen Of Imaal Terrier,Terrier,,,,13 - 17 yrs.,14 - 16 in.,30 - 35 lbs,80,95,95,40,66,100,83,88,90,25,13,80,20,80,70,80,60,60,42,80,"Very strong, Low shedder, Skilled hunters, Great for rural life, Great working dog, Low grooming needs, Few health problems, Very high intelligence, Can tolerate hot weather well, Perfect for highly active people, Easy to train for the right person, Has a mild tolerance to cold weather","Glen Of Imaal Terrier information, facts, and high-quality breed pictures. Learn everything about the Glen Of Imaal Terrier dog breed including temperament, care, and more.","The Glen of Imaal Terrier is a dog breed that has been around for a few centuries. They were said to have been conceived in the late 16th century when mercenaries — hired by England's Queen Elizabeth I (to put down the rebellion in Ireland) — settled down in the Wicklow Mountains of Ireland. They apparently had their hounds breed with regional terriers, and thus was born the Glen of Imaal Terrier. The breed was recognized by the Irish Kennel Club in 1934, by The Kennel Club in 1975 and by the American Kennel Club in 200..."
Gordon Setter,Gundog,,,,12 - 14 yrs.,23 - 27 in.,55 - 80 lbs,80,90,90,40,66,50,67,75,60,50,88,80,30,95,50,60,20,20,42,80,"Bloat, Cataracts, Allergies, Entropion, Ectropion, Hip dysplasia, Hypothyroidism","Gordon Setter information, facts, and high-quality breed pictures. Learn everything about the Gordon Setter dog breed including temperament, care, and more.","The Gordon Setter is a centuries-old Scottish breed of gun dog. These dogs were the only such ones to be developed there but they are highly acclaimed worldwide for their gun, setting, and other hunting abilities. They are the heaviest of setter breeds, and while they are not as fast as other setters, they are remarkable in their own right. The Gordon Hunter is and always has been a gun dog and bird setter. They can be trained to be versatile hunters, however, and these days they tend to be guide dogs too. They are good..."
Grand Bleu De Gascogne,Hound,,,,10 - 12 yrs.,23 - 27½ in.,80 - 100 lbs,75,74,81,88,73,67,67,50,10,50,75,62,20,66,30,11,65,80,46,70,,"Everything about the Grand bleu de gascogne dog breed. Discover Grand bleu de gascogne coloring, sizing, traits, lifespan, and compare Grand bleu de gascognes to other dog breeds.","Grand Bleu de Gascogne Lil Shepherd CC BY Dog Breeds Grand Bleu De Gascogne Grand Bleu De Gascogne Dog Breed The Grand Bleu de Gascogne is a large purebred scenthound of French origin. It is first and fundamentally a hunting and working breed, and it still embodies many of the physical and temperamental characteristics of its ancient ancestors. It is excellent with people and other dogs though it may show some of its hunting instincts around smaller pets if it hasn't been socialized at a young age. These dogs are very s..."
Great Dane,Working,,,,7 - 10 yrs.,28 - 38 in.,100 - 200 lbs,95,95,95,95,96,67,33,50,80,50,75,80,30,95,50,20,20,20,21,50,,"Everything about the Great Dane dog breed. Discover Great Dane coloring, sizing, traits, lifespan, and compare Great Danes to other dog breeds.","Great danes are very people oriented and prefer to be with their family as much as possible. However their size can make it difficult for them to be ideal house dogs, so training is necessary since their size can make it easy for them to knock over small tables and furniture if excited. As one of the largest dog breeds in the world, it's not uncommon for great danes to weigh as much as their owner. Males can exceed 200 pounds and be as tall as 34 inches from ground to shoulder. Not surprisingly, the breeds size presents..."
