Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Hungarian Puli,Pastoral,,,,10 - 15 yrs.,14 - 18 in.,28 - 33 lbs,95,95,90,90,83,0,100,100,90,0,63,40,100,95,100,80,40,40,21,100,"Excellent herding dog, One of the most intelligent breeds, Fairly easy to train, Great with older kids, Good with other pets, Excellent watchdog, Playful, faithful and intuitive, Extremely unique look, Hypoallergenic, Great exercise buddy, Companionable-- wants to spend a lot of time with you!","Puli information, facts, and high-quality breed pictures. Learn everything about the Puli dog breed including temperament, care, and more.","The Puli is a Hungarian herding dog known most often for being ""the dog with the dreadlocks"". They have a unique bouncy, agile style while working and their mop-like coat protects then in the field. This breed requires more grooming maintenance than almost any other breed! These dogs are great family pets for households with older children and usually get along very well with other pets. They are one of the most intelligent breeds in the world and are fairly easy to train. Pulik need a lot of daily exercise and an equal..."
Hungarian Pumi,Pastoral,,,,12 - 14 yrs.,15 - 19 in.,25 - 29 lbs,80,95,80,60,48,100,50,50,60,25,88,95,90,95,80,60,80,80,84,70,"Loves children, Minimal shedding, Great guard dogs, Few health issues, Superb agility dog, Very easy to train, Remarkably playful, Vermin exterminator, Excellent watchdogs, Highly communicative, Gets along with other pets, Fantastic for highly active lifestyles, Those ears!","Pumi information, facts, and high-quality breed pictures. Learn everything about the Pumi dog breed including temperament, care, and more.","The Pumi is a Hungarian shepherding dog that has been around since the 17th or 18th century but is only now gaining worldwide popularity. Although the FCI recognized the breed in 1954, the United Kennel Club formally recognized the Pumi in 1996. The Kennel Club eventually followed suite in 2015, and the American Kennel Club finally recognized the dog in mid-2016. Members of this breed have plenty of energy and intelligence, plus they make good family pets. This is one of those rare breeds that once you have seen her, yo..."
Hungarian Vizsla,Gundog,,,,12 - 15 yrs.,21 - 25 in.,45 - 65 lbs,95,95,95,90,92,100,67,75,75,50,50,95,70,90,70,15,20,20,63,80,"Extremely loving, Loves agility play, Excellent gun dog, Superb hunting dog, Beautiful show dog, Makes friends everywhere, Works well with other dogs, Does very well in obedience, Will always be at your side, Top-notch scenting capabilities, Highly skilled competition breed, Tend to have very low ""doggy odor"", Is said to be a relatively healthy breed","Vizsla information, facts, and high-quality breed pictures. Learn everything about the Vizsla dog breed including temperament, care, and more.","This ancient hunting dog that is nevertheless very modern in her thinking is a rare breed from Hungary. The term visla in Hungarian basically means ""beagle,"" but it is used loosely to mean ""retriever,"" pointer"" and ""deer-hound."" The ""vizsla"" pronunciation tends to be incorrectly said with a short ""i."" Until the mid-20th century, these beautiful dogs were very difficult to acquire and nearly never seen outside the region. Members of this breed are excellent companions for active individuals or families. If you are lookin..."
Hungarian Wirehaired Vizsla,Gundog,,,,12 - 15 yrs.,21 - 25 in.,45 - 60 lbs,95,95,95,95,96,100,33,50,80,50,25,95,70,95,70,20,20,20,21,80,"Not hypoallergenic, Matures very slowly, Can be aloof to strangers, Tends to be destructive when bored, Serious hereditary health problems, Must be trained at a very early age, Must be exercised at length every day, Separation anxiety can develop quickly, Will dominate a household where there is no master, Doesn't respond at all well to harsh training methods","Wirehaired Vizsla information, facts, and high-quality breed pictures. Learn everything about the Wirehaired Vizsla dog breed including temperament, care, and more.",These dogs were originally bred and raised exclusively for gentlemen's clubs in Hungary. They were developed in the 1930s by cross-breeding a Vizsla with a German Wirehaired Pointer. They have a short but intriguing history. The Wirehaired Vizsla was formally recognized by the American Kennel Club (AKC) in 2014. The Wirehaired Vizsla is a breed that the AKC places in the Sporting Dog Group. They are not for first-time dog owners although they are great dogs for those who are experienced as well as ready to live a life a...
Ibizan Hound,Hound,,,,11 - 14 yrs.,23½ - 27½ in.,50 - 50 lbs,40,70,74,30,58,100,67,75,50,63,75,62,40,68,80,66,90,89,54,70,"Bloat, Hip Dysplasia, Deafness, Thyroid Disease, Seizures, Allergies, Eye Problems","Ibizan Hound information, facts, and high-quality breed pictures. Learn everything about the Ibizan Hound dog breed including temperament, care, and more.","The Ibizan Hound, or Podenco Ibicenco, is a breed hailing from Spain's Balearic Islands. Although most people think of partying when they hear ""Ibiza"" the island truly has a rich, spirited culture mirrored by these beautiful dogs. The breed is said to be ancient-- as ancient as 3100 B.C. where they can be seen in hieroglypic markings on Egyptian walls and artifacts. The Egyptian god Anubis is said to have the head of a direct ancestor of the Ibizan. It is thought the Phoenicians brought these canines to Ibiza as early a..."
Irish Red & White Setter,Gundog,,,,10 - 12 yrs.,22½ - 26 in.,50 - 70 lbs,80,95,80,80,83,67,83,88,40,50,50,80,10,95,60,20,20,20,63,80,"Lively, pleasant temperament, Skilled gundog, particularly for birds, Eager to please and easy to train, Great with children, Good with other pets, Tolerant of strangers, Great exercise buddy, Fairly low maintenance grooming","Irish Red And White Setter information, facts, and high-quality breed pictures. Learn everything about the Irish Red And White Setter dog breed including temperament, care, and more.","The Irish Red and White Setter can be found in artwork dating back to the 17th and 18th century and, by the end of the latter was a popular gundog for bird hunting. Red and Whites often hunt grouse, pheasant, ptarmigan, blackgame, snipe, woodcock, quail, willow grouse, sand grouse, guinea fowl, sagehen, and francolin. The breed was finally acknowledged by the AKC in 2009 as part of the sporting category. We recommend this breed for sportsmen, active individuals and families that have a large home and property for them t..."
Irish Setter,Gundog,,,,11 - 15 yrs.,25 - 27 in.,60 - 70 lbs,95,100,95,95,96,67,100,100,20,50,75,80,30,95,80,20,40,40,63,90,"Cancer, Epilepsy, Eye Diseases such as Progressive Retinal Atrophy (PRA), Bloat","Access helpful expert knowledge, data, tips, and everything you need to know about the Irish Setter dog breed.","Irish Setters will ideally find homes as gundogs or with an active, outdoorsy family-- the more space you have for them and the more time you can spend with them, the better! For hunters, this is a dog that can do it all: track via scent in the air as opposed to the group, point and retrieve. The cover land by quartering which refers to the zig-zag pattern they follow while picking up the scent of birds in the air. It's a fact the Irish Setter is an excellent family dog and will be a beautiful, loving addition to the ho..."
Irish Terrier,Terrier,,,,12 - 15 yrs.,16 - 18 in.,23 - 27 lbs,80,95,95,20,66,67,67,75,100,13,75,20,40,95,60,60,40,40,42,70,"Versatile, Rather small, Extremely bold, Weather-proof coat, Not many grooming needs, Not prone to separation anxiety, May not be good for apartment life","Irish Terrier information, facts, and high-quality breed pictures. Learn everything about the Irish Terrier dog breed including temperament, care, and more.","The Irish Terrier is the oldest of the four Terrier breeds from Ireland. The ban on ear-cropping that is recognized today in the UK was first pushed by the Irish Terrier Club in the 1880s. The Club first persuaded The Kennel Club to bar any Irish Terriers with cropped ears from competing. Over time, the ear-cropping ban became required for all dog breeds. These former farm dogs and ratters were quickly found to be great gundogs, and all of that was dialed up when they literally went to war in the early 20th century. The..."
Irish Wolfhound,Hound,,,,6 - 8 yrs.,32 - 35 in.,115 - 180 lbs,95,95,95,95,96,67,33,50,20,50,50,60,20,80,60,10,40,40,42,70,"Calm, gentle, patient, Loyal and close bond with family, Intelligent, easily trained, Great with children, Good with other pets, Not aggressive towards strangers, Quiet, only barks as necessary, Can spend reasonable amounts of time alone, Low maintenance grooming, Doesn't need a ton of exercise, Doesn't shed much, Eye catching physique","Everything about the Irish Wolfhound dog breed. Discover Irish Wolfhound coloring, sizing, traits, lifespan, and compare Irish Wolfhounds to other dog breeds.","Despite the breed's original purpose, they are considered a gentle giant and are overly friendly towards everyone. Irish wolfhounds do well with children and are friendly with other animals. Their friendly behavior makes them poor guard dogs, but their size generally intimidates any potential intruders before they realize the dog only want to play. Irish Wolfhounds are quite similar to greyhounds and are in the hound category. The utilize their keen sense of sight along with their speed and imposing size to take down la..."
Italian Greyhound,Toy,,,,12 - 15 yrs.,13 - 15 in.,7 - 14 lbs,90,95,90,75,79,100,33,50,60,25,63,60,30,80,80,95,10,15,95,80,,"Italian Greyhound information, facts, and high-quality breed pictures. Learn everything about the Italian Greyhound dog breed including temperament, care, and more.","Italian Greyhounds are low maintenance: low grooming requirements, medium energy, and fairly easy to train. As an owner, you must be able to keep an eye on them; they are very athletic, can jump high and squeeze through small areas. Italian Greyhounds are very friendly dogs to children, other pets, and their frequent acquaintances, but to strangers they may be timid and reserved. Large high energy dogs and children that do not know how to handle pets with gentleness should be highly supervised with these dogs, as their ..."
Italian Spinone,Gundog,,,,9 - 12 yrs.,22½ - 27½ in.,61 - 85 lbs,80,95,95,80,96,100,33,50,40,25,25,80,70,60,70,60,20,20,84,90,"Decent watchdog, Low grooming needs, Few health problems, Dignified once mature, Loves to play with kids, Gets along well with other dogs, Demands constant companionship","Spinone Italiano information, facts, and high-quality breed pictures. Learn everything about the Spinone Italiano dog breed including temperament, care, and more.","This ancient breed, which is said to date back to around 500 B.C., is an Italian hunting dog that is also a remarkable gun dog. The shaggy, wire-haired coat and distinctive ""beard"" has been remarked upon over the last couple of millennia. They are not the easiest dogs to live with, and they require more than most dogs in order for them to fulfill their potential. Although they have been around for a very long time, the American Kennel Club (AKC) only formally recognized the breed in the year 2000. The Spinone Italiano i..."
Jack Russell Terrier,Terrier,,,,10 - 15 yrs.,10 - 15 in.,13 - 17 lbs,90,95,75,90,79,100,100,63,80,25,38,80,20,95,60,60,80,80,42,90,,"Everything about the Jack Russell Terrier dog breed. Discover Jack Russell coloring, sizing, traits, lifespan, and compare Jack Russells to other dog breeds.","Jack russells are devoted to their family and enjoy spending as much time with them as possible. Due to their small size and escape artist skills they are recommended as indoor dogs. The jack russell is a small dog breed that is usually 10-15 inches in height from ground to shoulders and weighs between 13-17 pounds. Don't let their small size food you, these dogs are full of energy since they were bred to keep up with the horses on fox hunts and have enough energy left to chase foxes."
Japanese Akita Inu,Utility,,,,10 - 12 yrs.,24 - 28 in.,70 - 130 lbs,35,90,15,15,48,67,33,50,80,50,25,40,80,95,50,40,15,15,42,60,"Courageous and loyal, Very intelligent, Unparalleled guard dog skills, Affectionate and playful with family members, Good work ethic, Low to moderate barking tendencies, Adapts well to cold climates, Extremely clean and self-maintaining","Everything about the Akita dog breed. Discover Akita coloring, sizing, traits, lifespan, and compare Akitas to other dog breeds.","The akita is known for their stubbornness, so they may not be the best choice for a first time dog owner. They make a good family dog, but can be aggressive towards other dogs (especially if they are the same sex). The Akita is a member of the Working group of breeds, and has been utilized as a guard dog and large-game hunter for centuries. These powerful, protective dogs are quite affectionate with and loyal to their families--and suspicious of (and often dangerously aggressive towards) everybody else. As such, Akitas ..."
Japanese Chin,Toy,,,,10 - 12 yrs.,8 - 11 in.,4 - 9 lbs,60,60,60,60,83,100,33,38,60,38,25,60,10,80,50,95,20,20,84,50,"Heart issues such as murmurs are common and heart failure is the leading cause of death among Japanese Chin dogs., Eye disease is common to the breed-- especially as they age. Cataracts is just one example. They are also prone to eye infections and irritations due to their protruding eyes., Joint problems such as hip dysplasia, elbow dysplasia and patellar (knee) luxation are common., Spinal deformities are sometimes detectable in baby Japanese Chins and may or may not cause issues., Thyroid disease can be detected via blood test., Epilepsy is sometimes seen in the breed., Respiratory Distress Syndrome is common due to the short muzzle.","Everything about the Japanese Chin dog breed. Discover Japanese Chin coloring, sizing, traits, lifespan, and compare Japanese Chins to other dog breeds.","Japanese chins do well in a variety of environments, but they are companion dogs and prefer being with their owner as often as possible. Their small size makes them an ideal pet for a small home, apartment, or condo. They are considered a happy dog breed, and get along well with just about everyone and other pets. The Japanese Chin may be the perfect companion for those seeking an indoor lap dog. Members of this breed are very versatile-- old or young, apartment or palace-- the Chin will warm your feet and your heart. T..."
Japanese Shiba Inu,Utility,,,,12 - 16 yrs.,13 - 17 in.,18 - 23 lbs,60,80,60,60,66,67,50,50,60,50,75,40,40,60,70,95,95,95,84,70,,"Everything about the Shiba Inu breed. Discover Shiba Inu coloring, sizing, traits, lifespan, and compare Shiba Inus to other dog breeds.","The breed is well known for their bold fearless attitude, high intelligence, acrobatic like agility, and occasionally stubborn behavior. Putting all of these traits into a small dog yields an amusing dog breed that owners will never get bored of. The shiba inu is a small dog breed. Males weigh no more than 23 pounds and stand 16 inches tall from ground to shoulder. This size makes the breed easy to travel with and ideal companions for apartments and smaller homes yet large enough to avoid being preyed upon by larger ani..."
Japanese Spitz,Utility,,,,10 - 16 yrs.,12 - 15 in.,17 - 20 lbs,80,80,95,80,48,67,67,50,60,63,75,80,30,80,70,80,40,40,84,70,"Extremely affectionate and sociable, Incredibly ""tidy""; normally keep themselves clean and have no ""doggie odor"", Relatively long lifespan (12-16 years), Excellent watchdog ability, Loyal, Great with children, Few health problems, Playful and active, Adapts to most living environments (home or apartment), Easily trained, Socializes well with other pets","Japanese Spitz information, facts, and high-quality breed pictures. Learn everything about the Japanese Spitz dog breed including temperament, care, and more.","The Japanese Spitz is a small- to medium-sized breed with a long, luxurious double coat that is always white in color. First bred in Japan in the early twentieth century to be a companion dog, the typical Japanese Spitz is personable, lively, and a bit strong-headed if not given proper training. Dogs of this breed are low-maintenance, healthy, and extremely clean. The Japanese Spitz, like most other Spitz breeds, is a member of the Non-Sporting Group. This breed was created in Japan in the early twentieth century to ser..."
Keeshond,Utility,,,,12 - 15 yrs.,17 - 18 in.,30 - 45 lbs,95,95,95,80,83,67,33,50,60,75,88,80,40,95,100,80,20,20,84,100,"Great with children, Alert watchdog, Outgoing with other dogs, Friendly towards strangers, Loving and attentive, Good at agility events and sports, Eager to please and super smart, Easy to train, Adaptable to any home size, Fairly easy to exercise, Generally very healthy","Keeshond information, facts, and high-quality breed pictures. Learn everything about the Keeshond dog breed including temperament, care, and more.","The Keeshond is an arctic Spitz-type breed originating in the Netherlands. They are best known as watchdogs for boats and barges although they were bred primarily as family companions and watchdogs. These dogs are known for their long, fluffy coats that are double-layered and weather resistant (but not hypoallergenic). They are tolerant and playful with kids, good with other dogs and friendly with visitors. Members of this breed are very adaptable to a variety of living situations but they do require outdoor playtime an..."
Kerry Blue Terrier,Terrier,,,,12 - 15 yrs.,17 - 20 in.,32 - 40 lbs,,,,,,33,67,75,,25,63,,50,,80,,,,,70,,"Everything about the Kerry Blue Terrier dog breed. Discover Kerry Blue Terrier coloring, sizing, traits, lifespan, and compare Kerry Blue Terriers to other dog breeds.","The Kerry Blue Terrier, as its name suggests, is a member of the Terrier group of breeds. Though originally developed to be an all-purpose farming and hunting dog, the Kerry is now mainly utilized as a family pet. (This handsome breed performs highly in dog shows as well.) Overall, Kerry Blues are best suited as companions to active families, preferably those with large yards to accommodate these dogs' high exercise requirements. And since this breed may not get along with other dogs, it's best if a Kerry lives in a ""on..."
King Charles Spaniel,Toy,,,,10 - 12 yrs.,10 - 11 in.,8 - 14 lbs,80,95,20,80,83,67,0,25,40,50,50,60,30,80,30,80,20,20,84,70,"Extremely affectionate, Well-suited for apartment life, Great for first-time owners, Low exercise requirements, Willing to please, Easy to house-train, Normally calm and even-tempered, Mostly low-maintenance","King Charles Spaniel information, facts, and high-quality breed pictures. Learn everything about the King Charles Spaniel dog breed including temperament, care, and more.","Members of this breed are decent family dogs, but they are best suited as companion dogs — meaning they prefer the company of one person for life — and they do very well as apartment dogs. They require a moderate amount of maintenance, have more than a fair amount of health issues and tend to be ambivalent in the company of other people and pets. These efforts are balanced by the fact they require little work from you to exercise them other than a few walks per week. King Charles Spaniel facts: dogs of this breed are me..."
Komondor,Pastoral,,,,10 - 12 yrs.,23 - 27 in.,90 - 110 lbs,60,95,60,20,31,17,33,50,40,25,75,80,90,80,90,40,20,20,21,90,"Bloat, Entropion, Hip dysplasia, Juvenile cataracts","Komondor information, facts, and high-quality breed pictures. Learn everything about the Komondor dog breed including temperament, care, and more.","The Komondor is a Hungarian Sheepdog that is somewhat common in parts of Europe but rather rare in the United States. These large dogs are significantly serious in demeanor, and they don't care to romp and play too much. It is not unusual for people to confuse a Kom with Puli, but there are many differences despite the single commonality of both breeds' corded coats. Komondors were bred exclusively to be Livestock Guardian Dogs. They are huge, they have few health concerns, and they are covered with a massive, thick, co..."
Kooikerhondje,Utility,,,,12 - 14 yrs.,14 - 16 in.,20 - 40 lbs,40,60,40,40,48,100,33,63,100,50,25,80,70,80,100,80,40,40,63,100,"Excellent temperament- happy, willing to please, Hard working sporting dog, Property watchdog, Keeps property free of varmint, Easy to train, Adapts well to indoor living, Enjoys exercising with you, Attentive and loyal towards trusted people, Fairly easy to groom, Not aggressive","Kooikerhondje information, facts, and high-quality breed pictures. Learn everything about the Kooikerhondje dog breed including temperament, care, and more.",The Kooikerhondje is the breed you probably have never heard of by name but may remember seeing in paintings! Spaniel-like in appearance they are medium sized with medium length orange and white coats (with characteristic feathered ears). They make for easily trained hunting companions and enjoy keeping watch over home and yard in their free time. The best match for this breed is an active owner with a quiet household that includes no small critters as pets. Kooikerhondjes may live 12-14 years. The Kooikerhondje has a f...
Korean Jindo,Utility,,,,12 - 14 yrs.,16 - 25 in.,40 - 50 lbs,80,95,60,60,83,50,67,75,80,63,25,40,60,80,10,60,40,40,42,100,"Staunchly loyal, Great guard dogs, Superb watchdogs, Extremely protective, Low grooming needs, Excellent hunting dogs, Uncommonly courageous, Preference for being indoors","Jindo information, facts, and high-quality breed pictures. Learn everything about the Jindo dog breed including temperament, care, and more.","The Jindo is a medium-sized Spitz-type dog rarely found outside Korea and Japan. It is a remarkably adept hunting dog whose training, socialization and management is extremely difficult — but which is equally rewarding for those who have the capability and experience to raise these wonderful, beautiful and talented purebred dogs. It was only in the 1980s that the dog began to get introduced to the Western world; the South Korean government has long maintained severe restrictions that make it very difficult to export Jin..."
Korthals Griffon,Gundog,,,,12 - 14 yrs.,20 - 24 in.,50 - 60 lbs,95,95,95,80,96,100,67,75,80,25,25,95,20,95,50,20,20,20,63,100,"Great with kids, Good with other pets, Friendly with strangers, Excellent gundog and retriever, Perfect exercise buddy, Highly trainable and willing to please, Low maintenance, Not a frequent barker, Can spend time indoors and out, Devoted and loves spending time with you, Said to be hypoallergenic","Wirehaired Pointing Griffon information, facts, and high-quality breed pictures. Learn everything about the Wirehaired Pointing Griffon dog breed including temperament, care, and more.","The Wirehaired Pointing Griffin is both unbeatable hunting partner and excellent family companion. They work closely with the hunter as a gundog in the field but also are equally adept retrievers that love water. According to the AKC they have been called the ""4 wheeler of all dogs"" due to their drive to dive right into difficult brush. Members of this breed are highly trainable and willing to please; they're also softies that need plenty of daily interaction with their owners. The best situation for a WPG is to live in..."
Lagotto Romagnolo,Gundog,,,,15 - 17 yrs.,16 - 19 in.,28 - 35 lbs,60,60,60,60,66,67,33,50,80,0,50,80,30,80,70,40,60,60,84,80,,"Lagotto Romagnolo information, facts, and high-quality breed pictures. Learn everything about the Lagotto Romagnolo dog breed including temperament, care, and more.","They are intelligent and love to please, making them easily trainable and extremely versatile; they are also presently employed as therapy/crisis dogs as well as allergen sniffing dogs for gluten and peanuts. Lagottos are quite low maintenance; they are hypoallergenic and require clipping as needed and monthly bathing. Members of this breed are affectionate and loving so they are great with children and make ideal indoor pets. Decreased prey drive allows them to be appropriate for multiple pet households. This breed nee..."
Lakeland Terrier,Terrier,,,,12 - 15 yrs.,13 - 15 in.,15 - 18 lbs,80,95,80,60,66,83,50,63,100,0,75,40,50,80,90,80,40,40,63,90,"Check the ears weekly for dirt and debris to prevent infections., Brush the teeth as often as possible-- start when they are puppies., Continue to make yearly check up appointments with your veterinarian.","Lakeland Terrier information, facts, and high-quality breed pictures. Learn everything about the Lakeland Terrier dog breed including temperament, care, and more.","This page is designed to give you the 101 on the Lakeland Terrier dog breed in a quick list of pros and cons. Lakies are rare in the United States and many other countries, in fact, many passerby on the street may mistakenly think you have a small Airedale or even a Wire Fox Terrier . The breed hails from the Lake District of northern England and has the thick, wiry weather-resistant coat to prove it. Although originally bred to hunt fox that plague herds of sheep, they can make great companions for outdoorsy individual..."
Lancashire Heeler,Pastoral,,,,12 - 15 yrs.,10 - 12 in.,13 - 18 lbs,60,80,60,60,66,100,67,75,80,50,75,60,90,80,100,40,60,60,42,90,"Herds cattle, Removes vermin such as rats and rabbits, Can be trained as a hunting partner and retriever, Can be trained as a therapy dog, Affectionate and lively, Pretty trainable with a firm owner, Great for families, Friendly towards friendly strangers, Alert watchdog, Good with other dogs, Low maintenance grooming, Can participate in moderate exercise with you","Lancashire Heeler information, facts, and high-quality breed pictures. Learn everything about the Lancashire Heeler dog breed including temperament, care, and more.","The Lancashire Heeler, also known as the Ormskirk Heeler, is a breed native to the United Kingdom. They are known for their herding and ratting abilities, black and tan coats, plus their ""smile"" which they may show you when they are content. These versatile dogs also make great companions for families or active individuals. They are lively and alert, making them excellent watchdogs but are usually friendly. The breed is low maintenance in regards to grooming but is prone to several serious health issues. Finally, Lancas..."
Large Munsterlander,Gundog,,,,12 - 15 yrs.,23 - 25½ in.,50 - 70 lbs,78,91,86,65,91,67,100,100,100,50,75,94,60,95,70,9,25,19,69,90,"Very friendly, Great gun dogs, Superior hunter, Born to retrieve, Highly energetic, Exceedingly loyal, Extremely playful, Wonderful with kids, Low grooming needs, Brilliant tracking ability, Generally low shedders, Loves water and swimming, Top-notch sense of smell, Gets along well with other dogs, One of the most intelligent breeds","Large Munsterlander information, facts, and high-quality breed pictures. Learn everything about the Large Munsterlander dog breed including temperament, care, and more.","The Large Munsterlander came about in 1909 when the breed standard for the German Longhaired Pointer no longer included black in the coat color. This didn't affect the not-yet-named dogs otherwise, and by 1919, it was its own breed and a superior hunting dog to boot. Today, the Large Munsterlander is known as one of the most versatile gun dogs to be had, even if it is rare. According to the Munsterlander Club of North America, there are only about 1,000 of these dogs in the United States and Canada. The Large Munsterlan..."
Leonberger,Working,,,,8 - 10 yrs.,25½ - 31½ in.,120 - 170 lbs,85,95,80,60,48,50,33,75,20,50,50,40,50,80,70,20,40,40,21,80,,"Leonberger information, facts, and high-quality breed pictures. Learn everything about the Leonberger dog breed including temperament, care, and more.","The Leonberger is a huge dog; males and females are easily distinguishable by size. The male is typically 28-31.5 inches at the shoulder while females are 25.5-29.5 inches. Weight for males is 120-170 pounds for males, females 100-135 lbs. The ideal family companion, Leos are sociable with friendly strangers and other pets, and excellent with children. They are calm, gentle and intuitive while still managing to be friendly and playful."
Lhasa Apso,Utility,,,,12 - 15 yrs.,9 - 11 in.,12 - 15 lbs,55,80,60,60,48,33,0,25,60,25,63,60,90,95,90,90,80,80,100,70,"Loving, playful towards the owner or family, Clownish and entertaining, Can be left alone for reasonable amounts of time, Generally healthy and long lived, Perfectly sized for apartments, Hypoallergenic, Easily exercised, Good watch dog","Everything about the Lhasa Apso dog breed. Discover Lhasa Apso coloring, sizing, traits, lifespan, and compare Lhasa Apsos to other dog breeds.","The lhasa apso is an intelligent dog breed, but they can be stubborn and often want to do their own thing instead of follow their owners commands. This can make it a challenging breed for novice or inexperienced dog owners. The Lhasa is classified as a Toy breed and Companion Dog according to the FCI and is grouped in the AKC's non sporting group. They are of ancient origin, hailing from the harsh mountainous areas of Tibet. These dogs worked as guardians of the interior of homes and other buildings-- some even in lives..."
Lowchen (Little Lion Dog),Toy,,,,12 - 14 yrs.,11 - 14 in.,12 - 18 lbs,95,95,95,80,83,33,33,50,90,13,75,90,30,95,60,95,20,20,84,40,"Cataracts, Patellar luxation, Progressive Retinal Atrophy (PRA)","Lowchen information, facts, and high-quality breed pictures. Learn everything about the Lowchen dog breed including temperament, care, and more.","The Lowchen is a recently renamed dog breed that has been around for about half a millennium. Formerly called the ""Little Lion Dog,"" Lowchen pronunciation is different in the European countries where the largest number of this rare dog is found. It is a toy breed and recognized by most kennel clubs as such save for the AKC which formally recognizes it as a non-sporting breed. The rarity of this breed is found in the fact that in 1973, there were fewer than 70 registered worldwide. These days, there are only a few hundre..."
Maltese,Toy,,,,12 - 15 yrs.,8 - 10 in.,4 - 9 lbs,80,90,60,80,48,33,67,25,60,25,75,85,10,80,10,90,5,10,89,70,"Mini Maltese (or Maltese Mini), Toy Maltese (Maltese Toy), Micro Maltese (Maltese Micro), Miniature Maltese (Maltese Miniature), Maltese Toy Dog (Maltese Dog Toy)","Everything about the Maltese dog breed. Discover Maltese coloring, sizing, traits, lifespan, and compare Maltese to other dog breeds.",Maltese are prone to being spoiled and can develop unfavorable temperaments towards other dogs and children if they are overly pampered by their owners. As a companion dog they can develop separation anxiety if left alone for long periods of time. The maltese is one of the smallest toy dog breeds. This combined with the popularity of even smaller versions of toy dogs has made the maltese sought after since they rarely get to 7 pounds and are 8-10 inches tall. Their small size makes them an ideal companion dog for owners...
Manchester Terrier,Terrier,,,,14 - 16 yrs.,13 - 17 in.,10 - 22 lbs,60,80,60,60,66,100,67,75,40,50,75,40,40,80,80,95,60,60,63,70,"Very intelligent, Devoted and loyal to family, Adapts well to apartment life, Minimal grooming required, Excellent watchdog ability, Socializes well with children (particularly older ones), Outgoing and social with both family and strangers, Excels in agility/obedience trials, Relatively long lifespan (14-16 years), Sheds only moderately","Manchester Terrier information, facts, and high-quality breed pictures. Learn everything about the Manchester Terrier dog breed including temperament, care, and more.","Dogs of this breed, in both variations, have the typical terrier temperament: feisty, loyal, and stubborn. Manchesters require moderate maintenance (little grooming, some training, and lots of exercise), and have fairly good health histories. Overall, these dogs are best suited for active families who can provide their dogs with plenty of attention, and are willing to handle their spunky personalities."
Maremma Sheepdog,Pastoral,,,,11 - 13 yrs.,25 - 29 in.,75 - 100 lbs,80,85,85,80,53,100,33,63,60,63,13,90,100,80,100,20,70,70,53,90,"Excellent guardian of livestock, The utmost protective and loyal dog, Hardworking and dedicated, Thrives on large properties, farms, ranches, Gets along well with other animals of all types, Affectionate towards their owners and animals, Little grooming required, Calm and laid-back when not working, Independent, not prone to separation anxiety, Can make good exercise partners, Healthy, impressive looking dogs","Maremma Sheepdog information, facts, and high-quality breed pictures. Learn everything about the Maremma Sheepdog dog breed including temperament, care, and more.","The Pastore Maremmano Abruzzese (shortened to Maremma) originated in the Marammano and Abruzzo regions of central Italy; they were once considered two separate breeds, one from either region, but due to little differences the ENCI of Italy combined the two types into one breed as of 1958. Although their original duty was to guard flocks of sheep from wolves, their duties have since expanded to guarding all types of animals from livestock to penguins! They are also top notch guard dogs for person and property. As a natur..."
Mastiff,Working,,,,6 - 10 yrs.,27 - 32 in.,130 - 220 lbs,80,95,95,40,48,67,33,50,60,50,50,60,70,80,60,40,60,60,21,30,English Mastiff: aka simply a Mastiff; largest mastiff breed,"Everything about the Mastiff dog breed. Discover Mastiff coloring, sizing, traits, lifespan, and compare Mastiffs to other dog breeds.","The breed is known for their companionship and enduring care and love for their family. They make excellent guard and watch dogs, as most intruders (and guests) are intimidated by a 220 dog watching them approach their property. The dog's size does take a toll on their body as the average mastiff lifespan is roughly 60% the lifespan of the average dog. There is no doubt that the mastiff is considered a giant dog breed. Males can often exceed 220 pounds and be as tall as 30 inches from ground to shoulder. In 1989 a masti..."
Miniature Pinscher,Toy,,,,10 - 14 yrs.,10 - 12 in.,8 - 11 lbs,60,95,60,40,66,100,83,50,60,25,63,60,10,95,60,95,40,40,63,50,,"Everything about the Miniature Pinscher dog breed. Discover Mini Pin coloring, sizing, traits, lifespan, and compare Mini Pins to other dog breeds.","Mini pinschers have a strong pack leader mentality and if you don't fit that role, they will fill it for you. This can make the breed a bit challenging for inexperienced dog owners. Unlike other toy dog breeds, the mini pinscher is sturdy and can tolerate rougher play without injury than similar sized dogs. Miniature pinschers resemble many dogs, but they are most commonly mistaken to be a miniature version of the doberman. The mini pinscher definitely has a big dog in a small dog's body mentality. The breed is known fo..."
